[ 2025-12-11 14:59:37,802 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-11 14:59:44,902 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-11 14:59:44,902 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-11 14:59:44,903 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-11 14:59:45,002 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-11 14:59:45,005 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-11 14:59:45,034 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-11 14:59:45,113 ] 32 root - INFO - Required number of columns:2
[ 2025-12-11 14:59:45,113 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-11 14:59:45,113 ] 32 root - INFO - Required number of columns:2
[ 2025-12-11 14:59:45,113 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-11 14:59:45,343 ] 28 root - INFO - data Validation Completed
[ 2025-12-11 14:59:45,343 ] 31 root - INFO - data Transformation started
[ 2025-12-11 14:59:45,343 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-11 14:59:45,344 ] 65 root - INFO - Starting data transformation
[ 2025-12-11 14:59:45,395 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-12-11 14:59:45,400 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-11 14:59:45,423 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-11 14:59:45,424 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-11 14:59:45,424 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-11 14:59:45,432 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-11 14:59:45,436 ] 35 root - INFO - data Transformation completed
[ 2025-12-11 14:59:45,436 ] 37 root - INFO - Model Training stared
